College of Saint Mary,Nebraska,Urban setting,820,24830,Fine/Studio Arts|Biology|Business Administration/Management|Biology Teacher Education|Chemistry Teacher Education|Early Childhood Education|Earth Science Teacher Education|Elementary Education|English Teacher Education|Junior High Education|Mathematics Education|Science Teacher Education|Secondary Education|Social Science Teacher Education|Spanish Language Teacher Education|Special Education|English Language & Literature - General|Nursing (RN)|Pre-Occupational Therapy Studies|Predentistry|Premedicine|Prepharmacy|Preveterinary Medicine|Paralegal/Legal Assistance|Liberal Arts & Sciences|Mathematics - General|Chemistry|Psychology - General|Theology
Union College,Nebraska,Suburban setting,810,18780,"Art - General|Commercial/Advertising Art|Fine/Studio Arts|Graphic Design|Music - General|Music - General Performance|Music Pedagogy|Visual and Performing Arts - General|Biochemistry|Biology|Accounting|Business Administration/Management|Finance/Banking|International Business|International Finance|Office Management|Organizational Behavior Studies|Communications/Rhetoric|Journalism|Public Relations|Computer Programming - General|Computer Science|Computer/Information Sciences - General|Art Teacher Education|Biology Teacher Education|Business Teacher Education|Chemistry Teacher Education|Computer Teacher Education|ESL Teacher Education|Education - General|Elementary Education|English Teacher Education|History Teacher Education|Mathematics Education|Music Teacher Education|Physical Education|Physics Teacher Education|Science Teacher Education|Secondary Education|Social Science Teacher Education|Technology/Industrial Arts Education|Engineering - General|Creative Writing|English Language & Literature - General|Foreign Language & Literature - General|German|Clinical Laboratory Science|Health and Wellness, General|Nursing (RN)|History - General|Prelaw|General Studies|Mathematics - General|Exercise Sciences|Health/Physical Fitness|Sport/Fitness Administration|Religion/Religious Studies|Chemistry|Physics|Psychology - General|Social Work|Social Sciences - General|Pastoral Counseling|Religious Education|Theology"
University of Nebraska Medical Center,Nebraska,Urban setting,1013,6659,Clinical Laboratory Science|Dental Hygiene|Diagnostic Medical Sonography|Medical Radiologic Technology|Nuclear Medical Technology|Nursing (RN)|Radiologic Technology/Medical Imaging
University of Nebraska - Omaha,Nebraska,Urban setting,11964,7027,"African-American Studies|Latin American Studies|Women's Studies|Art - General|Art History/Criticism/Conservation|Drama/Theater Arts|Fine/Studio Arts|Music - General|Music - General Performance|Music - Piano/Organ|Music - Voice/Opera|Music Theory/Composition|Stringed Instruments|Bioinformatics|Biology|Biotechnology|Accounting|Banking/Financial Services|Business - General|Business Administration/Management|Business/Managerial Economics|Finance/Banking|Human Resources Development|Investments/Securities|Management Information Systems|Marketing Management|Real Estate|Small Business Administration|Broadcast Journalism|Communications/Rhetoric|Journalism|Computer Science|Construction Trades - General|Education of Speech Impaired|Elementary Education|Music Teacher Education|Physical Education|Secondary Education|Special Education|Architectural Engineering|Chemical Engineering|Civil Engineering|Computer Engineering - General|Electrical/Communications Engineering|Engineering/Applied Physics|Construction/Building Technologies|Industrial Technology|Manufacturing Technologies|Creative Writing|English Language & Literature - General|Rhetoric and Composition|Family Resource Management Studies|Family/Consumer Sciences - General|Human Sciences Communication|French|German|Spanish|Community Health Services|Health System Administration|Premedicine|History - General|General Studies|Library Science|Mathematics - General|Gerontology|Global Studies|Natural Sciences|Environmental Studies|Exercise Sciences|Parks, Recreation & Fitness - General|Philosophy|Religion/Religious Studies|Chemistry|Geology|Physics|Psychology - General|Public Administration|Social Work|Criminal Justice Studies|Cartography/GIS|Geography|Political Science/Government|Sociology|Urban Studies|Air Transportation|Aviation Management"
Chadron State College,"Limited distance education classes and programs offered online and at Scottsbluff, Alliance, Sidney, and throughout western Nebraska and eastern Wyoming.",Rural setting,Not set,5331,"Range Science/Management|Art - General|Drama/Theater Arts|Music - General|Biology|Accounting|Business Administration/Management|Finance/Banking|Management Information Systems|Management Science|Office Management|Information Sciences/Systems|Art Teacher Education|Biology Teacher Education|Business Teacher Education|Chemistry Teacher Education|Drama/Dance Teacher Education|Elementary Education|English Teacher Education|Family/Consumer Sciences - Education|History Teacher Education|Junior High Education|Mathematics Education|Music Teacher Education|Physical Education|Physics Teacher Education|Science Teacher Education|Secondary Education|Social Science Teacher Education|Spanish Language Teacher Education|Technology/Industrial Arts Education|Trade/Industrial Education|English Language & Literature - General|Rhetoric and Composition|Family/Consumer Sciences - General|Spanish|Medicinal/Pharmaceutical Chemistry|History - General|Law & Legal Studies - General|Prelaw|Liberal Arts & Sciences|Library Science|Mathematics - General|Parks, Recreation & Fitness - General|Chemistry|Psychology - General|Social Work|Social Sciences - General|Sociology"
University of Nebraska - Kearney,Nebraska,Rural setting,5442,6199,Agricultural Business|Art - General|Art History/Criticism/Conservation|Commercial/Advertising Art|Drama/Theater Arts|Fine/Studio Arts|Music - General|Music - General Performance|Visual and Performing Arts - General|Biology|Business Administration/Management|Office Clerical Services|Office Management|Operations Management|Travel/Tourism Management|Advertising|Broadcast Journalism|Communications/Rhetoric|Journalism|Computer/Information Sciences - General|Information Sciences/Systems|Art Teacher Education|Biology Teacher Education|Business Teacher Education|Chemistry Teacher Education|ESL Teacher Education|Early Childhood Education|Education - General|Education of Learning Disabled|Education of Mentally Handicapped|Education of Multiple Handicapped|Education of Physically Handicapped|Education of Speech Impaired|Elementary Education|English Teacher Education|Family/Consumer Sciences - Education|Foreign Language Teacher Education|French Teacher Education|German Teacher Education|Health Teacher Education|History Teacher Education|Junior High Education|Mathematics Education|Music Teacher Education|Physical Education|Physics Teacher Education|Science Teacher Education|Secondary Education|Social Science Teacher Education|Spanish Language Teacher Education|Special Education|Speech Teacher Education|Technology/Industrial Arts Education|Trade/Industrial Education|English Language & Literature - General|Rhetoric and Composition|Clothing/Apparel/Textile Studies|Family/Consumer Sciences - Business|Family/Consumer Sciences - General|Housing Studies|Human Development/Family Studies|French|German|Language Interpretation/Translation|Spanish|Medical Radiologic Technology|Respiratory Therapy|Speech-Language Pathology|History - General|Liberal Arts & Sciences|Mathematics - General|Parks/Leisure Facilities Management|Sport/Fitness Administration|Philosophy|Chemistry|Physics|Psychology - General|Social Work|Criminal Justice Studies|Police Science|Economics|Geography|International Relations|Political Science/Government|Social Sciences - General|Sociology
Peru State College,Nebraska,"Rural community (under 2,500)",2094,5371,Fine/Studio Arts|Graphic Design|Music - General Performance|Biochemistry|Biology|Accounting|Management Information Systems|Management Science|Marketing Management|Pre-Engineering|English Language & Literature - General|Pre-Optometry Studies|Pre-Physical Therapy Studies|Predentistry|Premedicine|Prenursing|Prepharmacy|Preveterinary Medicine|Prelaw|Liberal Arts & Sciences|Mathematics - General|Chemistry|Psychology - General|Social Sciences - General
Wayne State College,Nebraska,Rural setting,2994,5318,Art - General|Drama/Theater Arts|Graphic Design|Music - General|Biology|Business Administration/Management|Communications/Rhetoric|Journalism|Mass Communications/Media Studies|Computer/Information Sciences - General|Information Sciences/Systems|Art Teacher Education|Biology Teacher Education|Business Teacher Education|Chemistry Teacher Education|Drama/Dance Teacher Education|Early Childhood Education|Elementary Education|English Teacher Education|Family/Consumer Sciences - Education|Foreign Language Teacher Education|Geography Teacher Education|History Teacher Education|Junior High Education|Mathematics Education|Music Teacher Education|Physical Education|Psychology Teacher Education|Social Science Teacher Education|Special Education|Speech Teacher Education|Technology/Industrial Arts Education|Engineering Technology - General|English Language & Literature - General|Child Care Service|Family/Consumer Sciences - General|Foods/Nutrition Studies|Foreign Language & Literature - General|Spanish|Athletic Training/Sports Medicine|History - General|Mathematics - General|Health/Physical Fitness|Physical Fitness Technician|Sport/Fitness Administration|Chemistry|Counseling Psychology|Psychology - General|Criminal Justice Studies|Geography|Political Science/Government|Social Sciences - General|Sociology
Nebraska Wesleyan University,Nebraska,Suburban setting,1788,24656,Art - General|Drama/Theater Arts|Fine/Studio Arts|Music - General|Music - General Performance|Biochemistry|Biology|Chem/Phys/Molecular Biology|Accounting|Business Administration/Management|International Business|Communications/Rhetoric|Political Communications|Computer Science|Information Technology|Elementary Education|English Teacher Education|Junior High Education|Music Teacher Education|Physical Education|Science Teacher Education|Social Science Teacher Education|Special Education|English Language & Literature - General|French|German|Spanish|Athletic Training/Sports Medicine|Nursing (RN)|History - General|Mathematics - General|Biopsychology|Global Studies|Exercise Sciences|Health/Physical Fitness|Sport/Fitness Administration|Philosophy|Religion/Religious Studies|Chemistry|Physics|Industrial/Organizational Psychology|Psychology - General|Social Work|Forensic Technologies|Economics|Political Science/Government|Sociology
Northeast Community College,Nebraska,Rural setting,5161,2655,Agribusiness Operations|Agricultural Business|Agricultural Equipment Technology|Agricultural Mechanization|Agricultural Production|Agriculture - General|Agronomy/Crop Science|Animal Sciences|Dairy Science|Farm/Ranch Management|Horticultural Services|Horticulture Science|Livestock Management|Art - General|Drama/Theater Arts|Music - General|Music - General Performance|Music Management/Merchandising|Biology|Accounting|Administrative/Secretarial Services|Banking/Financial Services|Business Administration/Management|Entrepreneurial Studies|International Business|Marketing Management|Merchandising|Office Clerical Services|Office Management|Real Estate|Journalism|Radio/Television Broadcasting|Recording Arts Technology|Computer Programming - General|Computer Science|Computer Support Specialist|Computer/Information Sciences - General|Electrician|Lineworker|Early Childhood Education|Elementary Education|Music Teacher Education|Secondary Education|Engineering - General|Architectural Drafting|Electrical Engineering Technologies|Electromechanical Technologies|Energy Systems|Heating/A.C./Refrigeration|English Language & Literature - General|Rhetoric and Composition|Emergency Medical Technology|Medical Administrative Assistance|Medical Dietetics|Medical Insurance Coding|Medical Radiologic Technology|Medical Records Technology|Nursing (RN)|Nursing - Practical|Physical Therapy Assistance|Predentistry|Premedicine|Prenursing|Prepharmacy|Preveterinary Medicine|Surgical Technology|Veterinarian Assistance|Legal Administrative Assistance|Paralegal/Legal Assistance|Prelaw|General Studies|Liberal Arts & Sciences|Library Assistance|Mathematics - General|Auto Body Repair|Automotive Technology|Diesel Mechanics|Heating/A.C./Refrigeration Mechanics|Medium/Heavy Vehicle Technology|Health/Physical Fitness|Culinary Arts/Chef Training|Chemistry|Physics|Welding Technology|Psychology - General|Corrections|Police Science|Social Sciences - General|Truck/Bus/Commercial Vehicle Operation
